0.8 0.8002 0
0.8002 0.8004 0
0.8004 0.8006 0
0.8006 0.8008 0
0.8008 0.801 0
0.801 0.8012 0
0.8012 0.8014 0
0.8014 0.8016 0
0.8016 0.8018 0
0.8018 0.802 0
0.802 0.8022 0
0.8022 0.8024 0
0.8024 0.8026 0
0.8026 0.8028 0
0.8028 0.803 0
0.803 0.8032 0
0.8032 0.8034 0
0.8034 0.8036 0
0.8036 0.8038 0
0.8038 0.804 0
0.804 0.8042 0
0.8042 0.8044 0
0.8044 0.8046 0
0.8046 0.8048 0
0.8048 0.805 0
0.805 0.8052 0
0.8052 0.8054 0
0.8054 0.8056 0
0.8056 0.8058 0
0.8058 0.806 0
0.806 0.8062 0
0.8062 0.8064 0
0.8064 0.8066 0
0.8066 0.8068 0
0.8068 0.807 0
0.807 0.8072 0
0.8072 0.8074 0
0.8074 0.8076 0
0.8076 0.8078 0
0.8078 0.808 0
0.808 0.8082 0
0.8082 0.8084 0
0.8084 0.8086 0
0.8086 0.8088 0
0.8088 0.809 0
0.809 0.8092 0
0.8092 0.8094 0
0.8094 0.8096 0
0.8096 0.8098 0
0.8098 0.81 0
0.81 0.8102 0
0.8102 0.8104 0
0.8104 0.8106 0
0.8106 0.8108 0
0.8108 0.811 0
0.811 0.8112 0
0.8112 0.8114 0
0.8114 0.8116 0
0.8116 0.8118 0
0.8118 0.812 0
0.812 0.8122 0
0.8122 0.8124 0
0.8124 0.8126 0
0.8126 0.8128 0
0.8128 0.813 0
0.813 0.8132 0
0.8132 0.8134 0
0.8134 0.8136 0
0.8136 0.8138 0
0.8138 0.814 0
0.814 0.8142 0
0.8142 0.8144 0
0.8144 0.8146 0
0.8146 0.8148 0
0.8148 0.815 0
0.815 0.8152 0
0.8152 0.8154 0
0.8154 0.8156 0
0.8156 0.8158 0
0.8158 0.816 0
0.816 0.8162 0
0.8162 0.8164 0
0.8164 0.8166 0
0.8166 0.8168 0
0.8168 0.817 0
0.817 0.8172 0
0.8172 0.8174 0
0.8174 0.8176 0
0.8176 0.8178 0
0.8178 0.818 0
0.818 0.8182 0
0.8182 0.8184 0
0.8184 0.8186 0
0.8186 0.8188 0
0.8188 0.819 0
0.819 0.8192 0
0.8192 0.8194 0
0.8194 0.8196 0
0.8196 0.8198 0
0.8198 0.82 0
0.82 0.8202 0
0.8202 0.8204 0
0.8204 0.8206 0
0.8206 0.8208 0
0.8208 0.821 0
0.821 0.8212 0
